display_name,producer,normalized_name,aliases,varietal,region,country,avg_price,price_band,rating_estimate,pairing_tags,occasion_tags,style,crowd_pleaser_score,value_score,known_retailers,label_keywords
Kirkland Signature Rioja Reserva,Kirkland Signature,kirkland signature rioja reserva,"kirkland rioja,reserva rioja",Tempranillo,"Rioja",Spain,12.99,under_15,4.1,"steak,burgers,tapas,grilled food","weeknight,dinner party,value",Medium-bodied with smooth earthy cherry,8,9,"Costco","rioja,reserva,kirkland,tempranillo"
Decoy Cabernet Sauvignon,Decoy,decoy cabernet sauvignon,"decoy cab,decoy california cabernet",Cabernet Sauvignon,California,USA,19.99,under_20,4.0,"steak,burgers,pasta,grilled food","gift,dinner party,date night",Full-bodied with dark fruit and polished finish,8,7,"Costco,Total Wine,Safeway","decoy,cabernet,duckhorn"
La Crema Pinot Noir,La Crema,la crema pinot noir,"la crema sonoma pinot",Pinot Noir,California,USA,22.99,under_30,3.9,"chicken,salmon,mushrooms,cheese","date night,dinner party,gift",Light-medium with cherry and silky texture,7,6,"Safeway,Whole Foods,Total Wine","la crema,pinot noir,sonoma"
Josh Cellars Cabernet Sauvignon,Josh Cellars,josh cellars cabernet sauvignon,"josh cab,josh cabernet",Cabernet Sauvignon,California,USA,15.99,under_20,4.0,"steak,burgers,pasta","weeknight,dinner party,safe pick",Full-bodied with blackberry and vanilla,8,8,"Safeway,Total Wine,BevMo","josh,cabernet"
J. Lohr Seven Oaks Cabernet Sauvignon,J. Lohr,j lohr seven oaks cabernet sauvignon,"j lohr cab,seven oaks cabernet",Cabernet Sauvignon,"Paso Robles",USA,16.99,under_20,4.0,"steak,burgers,grilled food","dinner party,gift,safe pick",Full-bodied with plum oak and cocoa,8,8,"Costco,Safeway,Total Wine","j lohr,seven oaks,cabernet"
Bogle Old Vine Zinfandel,Bogle,bogle old vine zinfandel,"bogle zin,old vine zin",Zinfandel,California,USA,10.99,under_15,3.8,"burgers,bbq,pizza,grilled food","weeknight,value,casual dinner",Jammy dark fruit with pepper and spice,7,8,"Safeway,Total Wine,BevMo","bogle,zinfandel,old vine"
Meiomi Pinot Noir,Meiomi,meiomi pinot noir,"meiomi pinot",Pinot Noir,California,USA,18.99,under_20,4.1,"chicken,salmon,pasta,cheese","date night,dinner party,safe pick",Soft ripe cherry with vanilla and spice,8,7,"Costco,Safeway,Total Wine","meiomi,pinot noir"
Daou Cabernet Sauvignon,Daou,daou cabernet sauvignon,"daou cab",Cabernet Sauvignon,"Paso Robles",USA,24.99,under_30,4.2,"steak,burgers,pasta","gift,dinner party,date night",Rich dark fruit with polished tannins,8,7,"Costco,Total Wine,BevMo","daou,cabernet,paso"
Kim Crawford Sauvignon Blanc,Kim Crawford,kim crawford sauvignon blanc,"kim crawford sauv blanc",Sauvignon Blanc,Marlborough,New Zealand,14.99,under_15,4.0,"seafood,chicken,cheese","weeknight,date night,gift",Crisp citrus passionfruit and herbs,8,7,"Costco,Safeway,Total Wine","kim crawford,sauvignon blanc"
Oyster Bay Sauvignon Blanc,Oyster Bay,oyster bay sauvignon blanc,"oyster bay sauv blanc",Sauvignon Blanc,Marlborough,New Zealand,12.99,under_15,3.9,"seafood,chicken,cheese","weeknight,value,date night",Bright citrus and tropical fruit,8,8,"Safeway,Total Wine,BevMo","oyster bay,sauvignon blanc"
Kendall-Jackson Vintner's Reserve Chardonnay,Kendall-Jackson,kendall jackson vintners reserve chardonnay,"kj chardonnay,kendall jackson chard",Chardonnay,California,USA,13.99,under_15,3.8,"chicken,pasta,seafood,cheese","weeknight,dinner party,safe pick",Creamy apple pear and vanilla oak,8,7,"Costco,Safeway,Total Wine","kendall jackson,chardonnay,vintners reserve"
Chateau Ste. Michelle Riesling,Chateau Ste. Michelle,chateau ste michelle riesling,"ste michelle riesling",Riesling,Washington,USA,9.99,under_15,3.9,"seafood,spicy food,chicken","weeknight,value,casual dinner",Off-dry peach citrus and floral notes,7,8,"Safeway,Total Wine,BevMo","chateau ste michelle,riesling"
Campo Viejo Rioja Tempranillo,Campo Viejo,campo viejo rioja tempranillo,"campo viejo rioja",Tempranillo,Rioja,Spain,11.99,under_15,3.8,"steak,burgers,tapas,pasta","weeknight,value,dinner party",Medium-bodied red cherry vanilla and spice,7,8,"Safeway,Total Wine,BevMo","campo viejo,rioja,tempranillo"
Alamos Malbec,Alamos,alamos malbec,"alamos mendoza malbec",Malbec,Mendoza,Argentina,10.99,under_15,3.8,"steak,burgers,bbq","weeknight,value,casual dinner",Plush blackberry plum and soft spice,7,8,"Costco,Safeway,Total Wine","alamos,malbec,mendoza"
Louis Jadot Beaujolais-Villages,Louis Jadot,louis jadot beaujolais villages,"jadot beaujolais",Gamay,Beaujolais,France,14.99,under_15,3.7,"chicken,cheese,pasta","date night,weeknight,dinner party",Light juicy red fruit and floral notes,7,6,"Whole Foods,Total Wine,Safeway","louis jadot,beaujolais,gamay"
Apothic Red Blend,Apothic,apothic red blend,"apothic red",Red Blend,California,USA,10.99,under_15,3.8,"burgers,bbq,pizza","weeknight,casual dinner,value",Smooth ripe fruit vanilla and mocha,8,7,"Safeway,Total Wine,BevMo","apothic,red blend"
19 Crimes Red Blend,19 Crimes,19 crimes red blend,"nineteen crimes red",Red Blend,Australia,Australia,11.99,under_15,3.8,"burgers,bbq,pasta","weeknight,casual dinner,gift",Bold ripe red fruit with sweet spice,8,7,"Costco,Safeway,Total Wine","19 crimes,red blend"
Menage a Trois Red Blend,Menage a Trois,menage a trois red blend,"menage red blend",Red Blend,California,USA,9.99,under_15,3.7,"burgers,pizza,pasta","weeknight,value,casual dinner",Soft jammy berry and vanilla,7,7,"Safeway,BevMo,Total Wine","menage a trois,red blend"
Columbia Crest H3 Cabernet Sauvignon,Columbia Crest,columbia crest h3 cabernet sauvignon,"h3 cabernet,horse heaven hills cab",Cabernet Sauvignon,Washington,USA,13.99,under_15,3.9,"steak,burgers,pasta","weeknight,dinner party,value",Dark berry cocoa and structured finish,8,8,"Costco,Safeway,Total Wine","columbia crest,h3,cabernet"
Joel Gott 815 Cabernet Sauvignon,Joel Gott,joel gott 815 cabernet sauvignon,"joel gott cab,815 cabernet",Cabernet Sauvignon,California,USA,17.99,under_20,4.0,"steak,burgers,grilled food","dinner party,gift,safe pick",Dark cherry blackberry and smooth tannins,8,7,"Costco,Safeway,Total Wine","joel gott,815,cabernet"
